,Building,Main Location,Price(Cr),Bath(s),Area(Marla),Bedroom(s),Description,luxury_type,Parking Spaces,Floor,Elevators,Floor in Building,Servant Quarters,Kitchens,Store Rooms,Price per Unit,Property era,Floor Level,Building Type,Elevator Capacity
6069,Sukh Chayn Residence,F-10,9.35,3.0,8.7,3.0,Sukh Chayn Residence 3 Bed Apartment 1960 Sq Ft Margalla view Demand 9.35 Cr Contact for viewing and details,0,4.0,11.0,1.0,22.0,1.0,1.0,1.0,1.0747126436781609,Brand New (2025),High-Rise,High Rise,Single/None
6070,The Centaurus,F-8,15.0,4.0,11.7,3.0,2642 Sq Ft Apartment Separate maid room Located in Tower B Contact for options and details,0,1.0,1.0,4.0,1.0,1.0,1.0,1.0,1.2820512820512822,Recently Built,Ground/First Floor,Ground/Flat,Multiple Bank
6071,E-11,E-11,2.2,3.0,7.6,3.0,Your Property Requirement Just One Call Away! This Apartment Is Mainly Present In Heart Of Islamabad Where The Margalla Mountains View Is Very Clear And Community Is Very Safe And Secure Its On 4th Floor And Is Rented For Long Time On 130000 As It Has Good Rental Value If Rented With New Agreement. Price Is Very Reasonable.,0,1.0,6.0,1.0,10.0,1.0,1.0,1.0,0.2894736842105263,Recently Built,Mid-Level,Mid Rise Core,Single/None
6076,Ghauri Town,Ghauri Town,0.8,2.0,3.6,2.0,Different Square Feet Size Shops And Flats Available For Sale On 3 Years Instalments Plan At Crown King Mall And Residency Near Expressway Way Ghauri Town Phase 5. 2 min distance from Islamabad expressway. Basement parking Lift Roof top restaurant For More Details Or Visit Please Contact Us WhatsApp Or Visit Our Office At Main Kalma Chowk Phase 4A Ghauri Town Islamabad.,0,1.0,2.0,1.0,8.0,0.0,2.0,0.0,0.22222222222222224,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
6085,Soan Garden,Soan Garden,0.39,1.0,1.6,1.0,"1 Bedroom With Attach Bath And TV Lounge. Kitchen For a price of PKR Rs. 3500000, you can expect lucrative returns in future for the property in question. We are here to help you buy your dream property. In Soan Garden - Block H, enjoy the best features available. The city of Islamabad is a prime real estate hub that will be profitable for all investors. This Flat is a great investment opportunity. You can buy the 350 Square Feet property that is surrounded with all kinds of facilities. For pricing and other details, contact us today.",0,2.0,1.0,1.0,6.0,1.0,1.0,1.0,0.24375,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
6087,Smama Star Mall & Residency,Gulberg Greens,1.1,1.0,2.4,1.0,Gulberg greens Islamabad building Name : Samama size : One bed apartment Parking :: own Car parking space features -> Prime location -> Best for living -> Good environment -> all facilities available -> best for investment -> good monthly rental value -> Handsome Monthly rent,0,1.0,1.0,1.0,8.0,1.0,1.0,1.0,0.45833333333333337,Modern Era,Ground/First Floor,Mid Rise Core,Single/None
6090,The Centaurus,F-8,12.65,2.0,10.2,2.0,"Presenting a rare opportunity to own a spacious and luxurious 2-bedroom apartment in the iconic Centaurus Residencia, located in the very heart of Islamabad. This 2300 Sq Ft apartment sits on the 13th floor, offering panoramic city views and direct access to Centaurus Mall, one of Pakistans top lifestyle destinations. Enjoy a premium living experience with world-class amenities, unmatched security, and the ultimate convenience of shopping, dining, and entertainment all under one roof. Property Highlights: Size: 2300 Sq Ft Floor: 13th Elevated city views 2 Spacious Bedrooms with attached baths Located within The Centaurus Mall Complex High-end amenities including pool, gym, security & concierge Direct deal with the owner No middlemen involved Heart of Islamabad Prime central location Price Details: Price is almost final Slightly negotiable on the table for serious buyers only Please do not waste your and our time with unrealistic or fake offers This is a highly sought-after property in one of Islamabads most prestigious buildings. Whether you're looking to invest or move in, this apartment offers lifestyle, location, and luxury all in one. Contact now to schedule a viewing or for further details. Serious inquiries only.",0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.2401960784313726,Recently Built,Ground/First Floor,Ground/Flat,Single/None
6091,Park View City,Park View City,1.8,1.0,3.7,1.0,"Experience Elevated Living in the Heart of Park View City Step into luxury with this stunning 4th-floor apartment in Elanza Creeks, ideally located within the vibrant and highly sought-after The Walk, Park View City. Surrounded by essential amenities, lush landscapes, and premium commercial spaces, this apartment offers the perfect blend of comfort, style, and convenience. Designed with contemporary elegance and innovative architecture, Elanza Creeks reflects modern urban living at its finest. Whether youre a homeowner or an investor, this apartment promises long-term value in a thriving community. Key Highlights: Located on the 4th floor of the prestigious Elanza Creeks project Situated in the commercial and residential heart of The Walk Modern layout with high-end finishes Close to parks, schools, shopping centers, and top-tier facilities A smart investment opportunity in a high-demand area Payment Details: 7080% of the total amount has already been paid. Only a few remaining installments are left, which will be taken care of by the purchasermaking it a hassle-free and ready-to-transfer deal.",0,1.0,1.0,1.0,8.0,,1.0,1.0,0.48648648648648646,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
6092,Eighteen,Kashmir Highway,2.6,2.0,4.3,1.0,"1 Bedroom Apartment Ready to Move In | EIGHTEEN Islamabad Located in EIGHTEEN, Islamabads premier luxury community 1 Elegantly Furnished Bedroom with built-in wardrobes Spacious Living Area with premium finishing Private Balcony with serene views of the surroundings Fully Equipped Modern Kitchen Stylish Bathroom with high-quality fittings Ready to Move In hassle-free living Large Windows for ample natural light and ventilation Ideal for Individuals, Couples, or Investors Access to World-Class Amenities: Golf course, Clubhouse, Dining, Gym & more Gated Community with 24/7 Security High Rental Potential & Great Long-Term Value contact for further details.",0,1.0,1.0,4.0,6.0,2.0,1.0,1.0,0.6046511627906977,Recently Built,Ground/First Floor,Mid Rise Core,Multiple Bank
6094,Sukh Chayn Residence,F-10,14.0,5.0,12.4,4.0,Pics for illustration only 4 bed Apartment Sukh Chayn Residence 2792 Sq Ft size Contact for options and details.,0,1.0,1.0,1.0,12.0,1.0,1.0,1.0,1.129032258064516,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6096,Gulberg Icon 2,Gulberg Greens,1.1,2.0,3.5,2.0,2 bed apartment 6th floor lift installated 780 SQ f demand: 110 lacs,0,1.0,6.0,1.0,6.0,,1.0,,0.31428571428571433,Recently Built,Mid-Level,Mid Rise Core,Single/None
6100,MPCHS,MPCHS - Multi Gardens,0.6,1.0,2.0,1.0,"Apartment for Sale B-17 MPCHS Block B, Islamabad Ideal for Living or Investment! Apartment No. 100 First Floor 550 Sq. Ft 1 Bedroom + Attached Bath Located in Salman Arcade, Prime Spot in Block B Markaz Modern Kitchen | Bright Living Space | Tiled Flooring Balcony with Pleasant View Secure Building with 24/7 Security & CCTV Elevator, Power Backup, and On-Site Parking Walking Distance to Markets, Mosque, Schools & Public Transport Peaceful Environment | Gated Community | Fast Developing Sector Perfect for: Small Families Professionals Students Rental Income Investment Serious buyers, contact now for a visit and more details!",0,4.0,1.0,1.0,5.0,2.0,2.0,1.0,0.3,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6101,Residency,DHA Phase 2,0.75,1.0,2.7,1.0,Property features Defense Residency Block 6 1 bedroom Attached bath TV lounge Kitchen Specious balcony 3rd floor Size 602 sq. Ft. Heavy duty lifts Front back open view Walking distance from masjid & commercial Direct access from main GT road For further details & visit please contact us,0,1.0,3.0,1.0,7.0,,1.0,,0.27777777777777773,Recently Built,Lower Floors,Mid Rise Core,Single/None
6102,MPCHS,MPCHS - Multi Gardens,2.5,2.0,7.1,2.0,"Two Bedrooms Flat For Sale In J7, B-17, ISLAMABAD. Main Flat Features 8th Floor, Two Bedrooms, Two Washrooms, Margalla View, Kitchen, Drawing Room, Dining Room, Lounge or Sitting Room Laundry Room Your Facilities Maintenance Staff Security Staff Nearby Schools Nearby Hospitals Nearby Shopping Malls Nearby Restaurants Distance From Airport (25 Kilometers) Nearby Public Transport Service Building Features Parking Spaces Lobby in Building Double Glazed Windows Central Air Conditioning Central Heating Flooring Electricity Backup Waste Disposal Floor Floors in Building Elevators Service Elevators in Building Other Features Servant Quarters Study Room Prayer Room Powder Room Gym Store Rooms Steam Room Business and Communication Broadband Internet Access Satellite or Cable TV Ready Business Center or Media Room in Building Conference Room in Building Intercom ATM Machines Other Business and Communication Facilities Community Features Community Lawn or Garden Community Swimming Pool Community Gym First Aid or Medical Centre Day Care Centre Kids Play Area Barbeque Area Mosque Community Centre Other Community Facilities Healthcare Recreational Sauna Jacuzzi Best investment opportunity Development work 24 7 Finishing work in process Possession within a few months Note : it's all dues clear apartment at Ideal location once in a life time opportunity only serious people may contact View Contact Detail",0,1.0,8.0,4.0,32.0,,1.0,,0.35211267605633806,Brand New (2025),Mid-Level,Skyscarper,Multiple Bank
6109,Soan Garden,Soan Garden,0.5,2.0,3.0,2.0,3rd floor Size 675 sqft Separate Wapda Electric meter 2 bedrooms with attached washrooms.,0,2.0,1.0,1.0,6.0,0.0,2.0,0.0,0.16666666666666666,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6119,The Centaurus,F-8,5.5,2.0,5.1,1.0,Centaurus 1 Bedroom Fully Furnished Apartment 1152 Sq Ft Incoming Rent 280000,0,1.0,11.0,1.0,21.0,1.0,1.0,1.0,1.0784313725490198,Modern Era,High-Rise,High Rise,Single/None
6139,MPCHS,MPCHS - Multi Gardens,0.7,2.0,3.8,2.0,B1 Markaz Size 850 square feet. 2nd floor corner Brand New Plaza 2 bedrooms 2 bathroom 1 separate kitchen all facilities good location separate entrance for residential floors very reasonable price price is almost final 65 lac For more information contact:,0,1.0,2.0,1.0,5.0,1.0,1.0,1.0,0.18421052631578946,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
6140,MPCHS,MPCHS - Multi Gardens,0.85,2.0,3.6,2.0,Size: 800 square feet B block Gate one 2nd floor Lift 24 hours Gas Separate electricity meter Good location For Further details contact:,1,1.0,2.0,1.0,5.0,,,,0.2361111111111111,Brand New (2025),Lower Floors,Mid Rise Core,Single/None
6142,Karakoram Diplomatic Enclave,Karakoram Diplomatic Enclave,8.5,3.0,8.9,2.0,"Karakoram Enclave, 2000 sq ft, 2 bed rooms with 3 baths, Fully Furnished and Fully Equipped Apartment, All tiled floors, beautiful bath rooms, modern kitchen with all quality appliances, incoming rent 1700$ monthly, foreigner tenant. Central heating and cooling. designated car park. for further information please call",1,1.0,1.0,1.0,4.0,0.0,,,0.9550561797752809,Modern Era,Ground/First Floor,Lower Levels,Single/None
6143,Faisal Town,Faisal Town Phase 1,1.15,2.0,5.8,2.0,"You Can Find Affordable Housing Options In Faisal Town - F-18. The Interested Property Buyers Can Avail The Offer Before It'S Off The Shelves. The Perfect 1300 Square Feet Flat Is Available For Sale Now In Faisal Town - F-18. The Location Of Faisal Town - F-18 Is Filled With Potential For The Right Buyer. A Flat Like This Doesn'T Come Around Easily, So Make The Most Of This Deal Today. Priced At Rs. 10500000, What More Could You Ask For? Newly Built 2 Bed Apartment. On Main Fateh Jang Road. Know More About The Property With The Details Given Below. You Can Find A Professional Security Services Team That Guards The Building 24/7. Contact Us Now To Know All You Need To Make The Best Property Decisions!",0,2.0,1.0,1.0,5.0,,2.0,,0.1982758620689655,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
6144,Residency,DHA Phase 2,0.65,1.0,2.7,1.0,Location Main G t Road near DHA Gate 2 DHA 2 Islamabad 1Bedroom TV Lounch kitchen tarass etc Beautiful Location Near Market masjid Park etc only Family Apartment contact for Details Usman,0,1.0,1.0,1.0,6.0,0.0,1.0,1.0,0.24074074074074073,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6148,Gulberg Residencia,Gulberg Residencia,0.6,1.0,1.4,1.0,"D-Markaz Studio Apartment for sale on one year installment plan Grey structure of building is ready and finishing work in underway Schools, Health Clinics, Gym, Banks, Parks, Restaurants are available Security and Peaceful Atmosphere",1,1.0,1.0,1.0,5.0,,1.0,,0.4285714285714286,Recently Built,Ground/First Floor,Mid Rise Core,Single/None
6152,I-12,I-12,0.56,2.0,3.9,2.0,"I-12/1 ( 2Bed PHA Apartment for sale ) Top location Flat in CDA sector i-12 Size: 870 sq. ft, Proper 2bed ,2Bath, TVL, Kitchen, Store Car parking and also lift facility available Best for living and investment purpose Very reasonable price Demand 56 lac For more details contact me.",1,1.0,1.0,1.0,10.0,,,,0.1435897435897436,Brand New (2025),Ground/First Floor,Mid Rise Core,Single/None
6154,Askari Tower 1,DHA Phase 2,4.9,5.0,13.3,4.0,"4 Beds Beautiful Ground Floor Apartment For Sale In Askari Tower-1, DHA Phase 2 Islamabad Prime Location All Facilities are Available No Issue In Water Supply, Electricity & Gas Pressure For Further Detail / Visit And Many More Options, Contact Us",0,1.0,1.0,2.0,7.0,1.0,1.0,1.0,0.3684210526315789,Modern Era,Ground/First Floor,Mid Rise Core,Dual Setup
6156,Bahria Enclave,Bahria Town,0.57,1.0,2.0,1.0,"Property Features Well-maintained 1 bed apartment with modern layout Open-plan living & bedroom space Neat kitchen with cabinets and fittings Clean and well-kept bathroom Bright & airy with good ventilation Suitable for singles, students, or working professionals Additional Benefits Secure building with 24/7 access Easy access to public transport Close to markets, restaurants, and essential amenities Peaceful neighborhood",0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.285,Brand New (2025),Lower Floors,Lower Levels,Single/None
6157,Bahria Enclave,Bahria Town,0.45,1.0,1.5,1.0,"Property Features Well-maintained studio apartment with modern layout Open-plan living & bedroom space Neat kitchen with cabinets and fittings Clean and well-kept bathroom Bright & airy with good ventilation Suitable for singles, students, or working professionals Additional Benefits Secure building with 24/7 access Easy access to public transport Close to markets, restaurants, and essential amenities Peaceful neighborhood",0,1.0,2.0,1.0,3.0,0.0,1.0,0.0,0.3,Brand New (2025),Lower Floors,Lower Levels,Single/None
6158,G-11,G-11,5.5,3.0,8.2,3.0,This Grand 3 Bedroom room Double Story Duplex Apartment with Big Terrace in our WARDA HAMNA Building-1 . it is Beautifully Furnished More than you Looking For in a Very Attractive Price . CDA Approved 2nd Floor Pindi South Face WARDA HAMNA B1 For Details & Visit Call Us Now.,1,1.0,2.0,2.0,6.0,,1.0,,0.6707317073170732,Modern Era,Lower Floors,Mid Rise Core,Dual Setup
6159,G-11,G-11,4.05,2.0,7.4,2.0,"Live the Premium life in Family Apartments Built for Peace ,Privacy & Perfection in Our Brand New Building With All amenities you Looking For . Call Now For Best Prices For You. Hurry Up Book your own Space.",0,1.0,2.0,3.0,10.0,1.0,2.0,1.0,0.5472972972972973,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
6160,G-11,G-11,3.8,2.0,7.1,2.0,"Our Brand New And Elegant Apartments Located On Very Prime Location With 24/7 Security And Full Amenities . Family Living That Feels Right With All Features You've Been Looking For . Call Us For Booking &Amp; Details. Be a lucky buyer to own a Flat in G-11. Your search for, for sale units can end here with these well-fitted and spacious properties. Looking for your dream property on a budget? Check out your option, priced at Rs. 38000000 . The location of G-11 has vast future potential. You can buy your 1600 Square Feet unit and enjoy a comfortable family life close to all kinds of facilities. So you're interested in taking up this Flat? Well, take it from us. Find out why this property is the best option for you below. You can have all your queries satisfied through the contact information on our page. The apartment building provides an inviting ambiance with its spacious lobby and reception area. It's a lucrative project offer to own your dream home, so call us today for booking or more information.",1,1.0,5.0,3.0,10.0,,,,0.5352112676056338,Brand New (2025),Lower Floors,Mid Rise Core,Multiple Bank
6161,G-11,G-11,4.8,3.0,8.4,3.0,Our Brand New And Elegant 3 Bedroom Apartments Located On Very Prime Location With 24/7 Security And Full Amenities . Family Living That Feels Right With All Features You'Ve Been Looking For . Call Us For Booking & Details,0,1.0,8.0,3.0,10.0,1.0,2.0,2.0,0.5714285714285714,Brand New (2025),Mid-Level,Mid Rise Core,Multiple Bank
